dealer_name,dealer_code,branch,zone
Suresh Das And Sons,C101104007616641,ROBR,East-1
Baba Marble,C101104007616682,ROBR,East-1
Ruchi Enterprises,C101104007700096,ROBR,East-1
Shri Sai Traders,C101104007710437,ROBR,East-1
Sanitary House,C101104007800097,PATNA,East-1
Shivam Marble And Tiles,C101104007815421,PATNA,East-1
R S Traders,C101104007815556,PATNA,East-1
Sanitary House,C101104007816208,PATNA,East-1
Manoj And Saroj Hardware Store,C101104014305899,PATNA,East-1
Shivam Tiles And Hardware,C101104014314869,PATNA,East-1
Jai Mata Di Marble And Granite House (Blk),C101104049106047,PATNA,East-1
Maa Satbhani Marbel And Tiles,C101104049109253,PATNA,East-1
Manuraj Decor,C101104068316381,JAIPUR,Enterprise
Magadh Tiles House,C101104072606149,PATNA,East-1
Birampur Construction Private Limited,C101104072614719,ROBR,Enterprise
Navya Marble,C101104072615645,PATNA,East-1
Chandra Enterprises,C101104072615912,PATNA,East-1
Sri Balajee Entreprises,C101104102609528,PATNA,Enterprise
Rajasthani Marble,C101104102612502,PATNA,East-1
Sri Hanuman Tiles And Sanitary,C101104103209610,ROBR,East-1
D.K.Enterprises,C101104103212852,ROBR,East-1
Avishika Vision Private Limited,C101104103215290,ROBR,East-1
Vikash Traders,C101104103215473,ROBR,East-1
Shiv Sai Marbals,C101104103509691,PATNA,East-1
Swaraaj Maarble,C101104103510101,PATNA,East-1
Reeshav Automobiles Private Limited,C101104103512388,PATNA,Enterprise
Hitech Competent Builders Pvt Ltd,C101104103514723,VADODARA,West
Govind Enterprises,C101104103516676,PATNA,East-1
Chandra And Rudraksha,C101104105309899,PATNA,East-1
Aashirwad Traders,C101104106509948,PATNA,East-1
Ashish Ranjan,C101104106510652,PATNA,East-1
Pranjal Marble,C101104106513167,PATNA,East-1
Maa Vaishnavi Marbles And Tiles,C101104106514220,PATNA,East-1
Maa Vaishnavi Infrazone,C101104106514242,PATNA,East-1
Sohjana Hardware,C101104106515496,PATNA,East-1
Sohjana Hardware,C101104106515499,PATNA,East-1
R.K Marble,C101104106515898,PATNA,East-1
M - Mart,C101104106516158,PATNA,East-1
Jayanti Agency,C101104107710047,ROBR,East-1
Sharma Enterprises,C101104107713293,ROBR,East-1
Rama Construction Co.,C101104111910337,PATNA,Enterprise
Ramacivil India Construction Pvt. Ltd.,C101104111910467,PATNA,Enterprise
Shivam Marble House,C101104111912939,ROBR,East-1
Ajay Sanitation,C101104111914575,ROBR,East-1
Shree Balajee Enterprises,C101104115112010,ROBR,East-1
Jai Mata Di Enterprises,C101104115312044,PATNA,East-1
Sai Traders,C101104115314269,PATNA,East-1
Raj Enterprises,C101104115314809,PATNA,East-1
Maa Enterprises,C101104115315599,PATNA,East-1
Jai Ambe Enterprises,C101104115316415,PATNA,East-1
Panday Sanitary And Hardware,C101104115316672,PATNA,East-1
Pandey Tiles & Marble,C101104115316719,PATNA,East-1
Dada Enterprises,C101104115316829,PATNA,East-1
Anand Marbal House,C101104115612083,ROBR,East-1
Kashyap Tiles And Sanitariware,C101104118112457,PATNA,East-1
T K Enterprises,C101104118116409,PATNA,East-1
Swati Tiles Marble And Sanitary Store,C101104118116598,PATNA,East-1
Krishna Hardware And Paint Store,C101104118117010,PATNA,East-1
Basudeo Sales,C101104118312520,ROBR,East-1
Abhay Shankar Chaudhary,C101104119012536,PATNA,Enterprise
Shree Vinayak Traders,C101104119015560,ROBR,East-1
Vascon Engineers Limited,C101104119016350,LUCKNOW,Enterprise
Jay Mata Di Agency,C101104119016404,ROBR,East-1
